"State","Speed","Gender","Age"
"North Carolina",49,"Male",25
"Florida",20,"Female",48
"California",25,"Male",50
"Pennsylvania",50,"Male",54
"Arizona",7,"Male",41
"California",65,"Female",76
"Florida",20,"Male",23
"Arizona",5,"Male",36
"Alabama",40,"Male",40
"Alabama",55,"Female",25
"California",65,"Male",45
"South Carolina",55,"Female",26
"Mississippi",65,"Male",23
"Florida",35,"Female",62
"Florida",45,"Male",53
"Florida",40,"Male",24
"Pennsylvania",0,"Male",61
"North Carolina",83,"Male",46
"California",68,"Male",28
"Pennsylvania",60,"Male",71
"California",60,"Male",52
"South Carolina",80,"Male",21
"California",63,"Female",18
"South Carolina",10,"Male",4
"Texas",0,"Male",50
"Florida",5,"Female",68
"South Carolina",55,"Male",19
"Alabama",15,"Female",86
"California",35,"Male",40
"Wisconsin",35,"Male",59
"Oklahoma",0,"Male",75
"North Carolina",80,"Male",41
"North Carolina",5,"Female",40
"Ohio",10,"Male",23
"Ohio",45,"Female",52
"Florida",45,"Male",30
"Missouri",0,"Male",23
"Florida",20,"Male",32
"Virginia",60,"Female",17
"California",75,"Female",43
"Arizona",40,"Male",60
"California",50,"Male",44
"Virginia",55,"Male",27
"Connecticut",0,"Male",31
"California",60,"Female",37
"Oregon",0,"Male",34
"Alabama",45,"Male",86
"North Carolina",0,"Male",47
"Pennsylvania",5,"Male",37
"Arizona",0,"Male",68
"Louisiana",70,"Male",20
"Florida",70,"Female",23
"Indiana",0,"Male",10
"North Carolina",60,"Male",61
"Florida",0,"Male",26
"New York",86,"Male",19
"Florida",45,"Male",19
"North Carolina",55,"Male",14
"North Carolina",45,"Male",68
"Ohio",45,"Female",22
"Florida",70,"Male",63
"California",23,"Female",20
"Arizona",65,"Male",25
"California",70,"Female",26
"Missouri",0,"Male",69
"Pennsylvania",35,"Male",18
"Maryland",0,"Female",12
"Virginia",50,"Female",46
"California",70,"Male",55
"Pennsylvania",0,"Female",19
"Ohio",35,"Male",23
"Mississippi",0,"Female",24
"Ohio",10,"Female",40
"California",80,"Male",26
"Ohio",40,"Male",67
"Mississippi",55,"Female",56
"North Carolina",40,"Female",60
"Ohio",45,"Male",47
"New York",0,"Male",54
"Michigan",0,"Male",65
"North Carolina",55,"Female",56
"Utah",40,"Male",27
"Kentucky",60,"Male",53
"Colorado",75,"Male",33
"Illinois",34,"Male",57
"Texas",0,"Female",51
"Louisiana",5,"Female",29
"North Carolina",60,"Male",30
"South Carolina",45,"Male",57
"California",43,"Female",25
"New Jersey",0,"Male",4
"Pennsylvania",45,"Male",51
"Pennsylvania",60,"Male",31
"California",55,"Female",24
"Florida",70,"Male",25
"Louisiana",0,"Male",22
"California",65,"Female",40
"New Mexico",0,"Male",59
"Colorado",75,"Female",22
"Maine",0,"Male",2
"South Carolina",45,"Male",38
"Virginia",0,"Male",55
"California",35,"Male",57
"Wisconsin",55,"Female",4
